PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_req=1 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_req=2 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_req=4 ttl=64 time=160 ms
64 bytes from 10.0.0.2: icmp_req=7 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_req=8 ttl=64 time=95.7 ms
64 bytes from 10.0.0.2: icmp_req=9 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_req=10 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_req=11 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_req=12 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_req=13 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_req=14 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_req=15 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_req=16 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_req=17 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_req=19 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_req=21 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_req=22 ttl=64 time=85.0 ms
64 bytes from 10.0.0.2: icmp_req=23 ttl=64 time=90.6 ms
64 bytes from 10.0.0.2: icmp_req=24 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_req=25 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_req=26 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_req=27 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_req=28 ttl=64 time=131 ms
64 bytes from 10.0.0.2: icmp_req=29 ttl=64 time=137 ms
64 bytes from 10.0.0.2: icmp_req=30 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_req=31 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_req=32 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_req=33 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_req=34 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_req=35 ttl=64 time=95.4 ms
64 bytes from 10.0.0.2: icmp_req=36 ttl=64 time=68.9 ms
64 bytes from 10.0.0.2: icmp_req=37 ttl=64 time=81.9 ms
64 bytes from 10.0.0.2: icmp_req=38 ttl=64 time=94.9 ms
64 bytes from 10.0.0.2: icmp_req=39 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_req=40 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_req=41 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_req=42 ttl=64 time=128 ms
64 bytes from 10.0.0.2: icmp_req=43 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_req=44 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_req=45 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_req=47 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_req=50 ttl=64 time=162 ms
64 bytes from 10.0.0.2: icmp_req=52 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_req=53 ttl=64 time=33.8 ms
64 bytes from 10.0.0.2: icmp_req=54 ttl=64 time=96.9 ms
64 bytes from 10.0.0.2: icmp_req=55 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_req=56 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_req=57 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_req=58 ttl=64 time=128 ms
64 bytes from 10.0.0.2: icmp_req=59 ttl=64 time=133 ms
64 bytes from 10.0.0.2: icmp_req=60 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_req=63 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_req=64 ttl=64 time=85.9 ms
64 bytes from 10.0.0.2: icmp_req=65 ttl=64 time=91.7 ms
64 bytes from 10.0.0.2: icmp_req=66 ttl=64 time=97.7 ms
64 bytes from 10.0.0.2: icmp_req=67 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_req=68 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_req=69 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_req=70 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_req=71 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_req=72 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_req=73 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_req=74 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_req=76 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_req=77 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_req=78 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_req=79 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_req=80 ttl=64 time=90.1 ms
64 bytes from 10.0.0.2: icmp_req=81 ttl=64 time=96.0 ms
64 bytes from 10.0.0.2: icmp_req=82 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_req=83 ttl=64 time=109 ms
64 bytes from 10.0.0.2: icmp_req=84 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_req=85 ttl=64 time=128 ms
64 bytes from 10.0.0.2: icmp_req=86 ttl=64 time=133 ms
64 bytes from 10.0.0.2: icmp_req=87 ttl=64 time=138 ms
64 bytes from 10.0.0.2: icmp_req=88 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_req=89 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_req=90 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_req=91 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_req=92 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_req=93 ttl=64 time=80.6 ms
64 bytes from 10.0.0.2: icmp_req=94 ttl=64 time=85.8 ms
64 bytes from 10.0.0.2: icmp_req=95 ttl=64 time=90.8 ms
64 bytes from 10.0.0.2: icmp_req=96 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_req=97 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_req=98 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_req=99 ttl=64 time=125 ms
64 bytes from 10.0.0.2: icmp_req=100 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_req=101 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_req=102 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_req=103 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_req=104 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_req=105 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_req=106 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_req=107 ttl=64 time=60.4 ms
64 bytes from 10.0.0.2: icmp_req=108 ttl=64 time=83.0 ms
64 bytes from 10.0.0.2: icmp_req=109 ttl=64 time=96.8 ms
64 bytes from 10.0.0.2: icmp_req=110 ttl=64 time=94.7 ms
64 bytes from 10.0.0.2: icmp_req=111 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_req=112 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_req=113 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_req=115 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_req=116 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_req=117 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_req=118 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_req=119 ttl=64 time=151 ms
